name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
Carbon Defi,"['Ethereum', 'Sei', 'Coti', 'Celo', 'TAC']",Dexs,80149.0,380694.0,2347507.0,47.8,62.98,391.74
Unchain X,['BSC'],Dexs,78769.0,630298.0,3007692.0,46.53,-43.86,-25.23
Ape Church,['ApeChain'],Luck Games,78234.0,995670.0,4789723.0,-30.03,-46.31,-72.85
LiquidLaunch,['Hyperliquid L1'],Launchpad,77720.0,239249.0,887387.0,99.27,-16.19,13583.1
Tempo Stablecoin Dex,['Tempo'],Dexs,75842.0,947841.0,1822009.0,-67.46,-36.91,61.82
TopStrike,['MegaETH'],Gaming,75280.0,259423.0,643541.0,101.42,594.66,3197.42
Satsuma,['Citrea'],Dexs,73479.0,591524.0,18590737.0,-8.7,-71.17,-81.03
Treble V2,['Base'],Dexs,70656.0,386617.0,1712793.0,31.24,23.04,-18.08
Biswap V2,['BSC'],Dexs,69473.0,550851.0,3359499.0,41.33,-24.21,-27.33
ShibaSwap V1,"['Ethereum', 'Shibarium']",Dexs,68665.0,433389.0,6984711.0,47.37,-8.92,18.19
Kast Card,['Movement'],Crypto Card Issuer,67701.0,482021.0,3815855.0,18.57,-47.02,-75.46
PHUX,['PulseChain'],Dexs,67685.0,424549.0,2062540.0,22.87,-0.58,8.08
Myriad Markets,"['Abstract', 'Linea', 'BSC']",Prediction Market,66908.0,1004632.0,3393932.0,-13.34,-60.24,8.95
Chapool,['opBNB'],Physical TCG,63154.0,612622.0,5162502.0,-0.8,-82.41,-82.69
Monster,['MegaETH'],Physical TCG,56514.0,335631.0,2679185.0,16.5,11.05,
death.fun,['Abstract'],Luck Games,55588.0,165406.0,223057.0,170.84,261.81,
Exa Card,"['Base', 'OP Mainnet']",Crypto Card Issuer,53462.0,267052.0,1165605.0,79.79,37.11,145.23
Stabull Finance,"['Ethereum', 'Polygon', 'Base']",Dexs,52381.0,328685.0,1209358.0,-44.71,180.35,-7.68
Mento V3,"['Celo', 'Monad']",Dexs,52028.0,951584.0,3823219.0,-56.01,-71.94,-77.41
Balancer V1,['Ethereum'],Dexs,51750.0,569864.0,659924.0,-15.0,,-69.39
Alpha Arcade,['Algorand'],Prediction Market,51673.0,254291.0,1237190.0,31.92,62.67,20.95
Kittenswap CL,['Hyperliquid L1'],Dexs,50589.0,260039.0,661888.0,66.55,20.41,105.03
Ubeswap V3,['Celo'],Dexs,50420.0,273011.0,1036636.0,5.67,26.12,
Shiny,"['Base', 'Abstract']",Physical TCG,49571.0,344636.0,3799438.0,-18.91,-59.16,-71.2
Wombat Exchange,"['BSC', 'Arbitrum', 'Ethereum', 'Scroll', 'Avalanche', 'Base', 'OP Mainnet', 'Monad', 'Polygon', 'Hyperliquid L1']",Dexs,46127.0,306107.0,1539948.0,348.23,2.73,71.49
SailFish Finance,['EDU Chain'],Dexs,45904.0,319809.0,1570400.0,-4.0,-7.77,-77.6
x402,"['Hyperliquid L1', 'Solana', 'Base', 'Polygon', 'Arbitrum', 'Abstract', 'BSC', 'Celo', 'OP Mainnet', 'Avalanche']",Payments,44447.0,266724.0,892154.0,17.8,1.69,-89.55
InitiaDEX,['Initia'],Dexs,42408.0,632794.0,5103277.0,-12.21,-8.79,-77.69
Swappi,['Conflux'],Dexs,41399.0,423036.0,1594180.0,33.0,-75.66,8.83
HARD Swap,['Kava'],Dexs,41397.0,288998.0,1515338.0,12.21,47.61,-48.59
Stable Swap V3,['Stable'],Dexs,40126.0,351529.0,2213820.0,34.76,-58.74,117.95
BEX,['Berachain'],Dexs,38141.0,209574.0,795419.0,56.51,23.82,138.1
Nerve,['BSC'],Dexs,37973.0,158151.0,349593.0,116.47,164.03,140540.74
Peer,['Base'],Payments,37749.0,289341.0,1404675.0,-17.21,-29.2,-28.05
Saber,['Solana'],Dexs,36347.0,639544.0,3299160.0,-42.24,-85.22,42.49
Aktionariat,"['Ethereum', 'OP Mainnet', 'Polygon']",RWA,35325.0,850076.0,850076.0,,,-81.41
Beets DEX V3,['Sonic'],Dexs,34597.0,143911.0,1316637.0,16.91,6.39,39.87
stabble Stableswap,['Solana'],Dexs,34555.0,741042.0,5729584.0,-0.18,-85.72,-86.92
Kiyotaka Prediction Market,['Polygon'],Interface,34501.0,209936.0,872101.0,3.37,4.27,49.1
Blackhole AMM,['Avalanche'],Dexs,34387.0,226087.0,1159006.0,15.34,-49.1,-77.62
BarterSwap Superposition,['Ethereum'],Dexs,34094.0,474569.0,1946442.0,-50.11,-71.21,-70.68
Molten V4,['CORE'],Dexs,33943.0,121945.0,1776876.0,356.47,166.99,-88.21
ALEX,['Stacks'],Dexs,32797.0,701789.0,972645.0,27.13,56.86,1061.78
Forest V1,['BSC'],Dexs,32762.0,868124.0,2498519.0,-64.12,-71.17,20.04
STEAMM,['Sui'],Dexs,32616.0,520397.0,2532632.0,49.45,57.12,-10.86
zkSwap V2,"['ZKsync Era', 'Sonic', 'Monad']",Dexs,32604.0,269844.0,1176829.0,-13.65,56.64,-14.01
Bifrost DEX,['Bifrost'],Dexs,32146.0,123226.0,985621.0,-29.27,-63.8,1303.14
ApeSwap AMM,"['BSC', 'Polygon', 'Ethereum', 'Telos', 'Arbitrum']",Dexs,31945.0,342127.0,1576725.0,-26.46,-51.4,-42.65
MachineX Legacy,['Peaq'],Dexs,31414.0,93306.0,186976.0,166.09,83.65,8650.42
Pharaoh Legacy,['Avalanche'],Dexs,30399.0,222659.0,1421150.0,104.43,-47.08,-95.92
iZiSwap,"['BSC', 'Aurora', 'ZKsync Era', 'OntologyEVM', 'Ultron', 'Mantle', 'Meter', 'Scroll', 'Linea', 'Polygon', 'Arbitrum', 'Base', 'Manta', 'ZetaChain', 'Mode', 'IoTeX', 'Hemi', 'Monad']",Dexs,30042.0,192650.0,853898.0,100.96,20.34,-18.5
DeltaSwap,"['Arbitrum', 'Base', 'Ethereum']",Dexs,29755.0,125353.0,979862.0,108.63,53.72,7.58
Lithos,['Plasma'],Dexs,29300.0,216314.0,1201986.0,-3.43,-15.35,-53.25
Ramses HL Legacy,['Hyperliquid L1'],Dexs,29076.0,48418.0,85946.0,198.98,888.98,5148.38
Cauldron,['Bitcoincash'],Dexs,29061.0,696227.0,2296993.0,154.5,-73.48,106.65
Pangolin V2,['Avalanche'],Dexs,28797.0,259120.0,1743938.0,26.97,-76.32,-77.48
Kittenswap AMM,['Hyperliquid L1'],Dexs,28323.0,54085.0,349393.0,284.82,1398.57,2252.41
Aftermath AMM,['Sui'],Dexs,27632.0,165825.0,1199376.0,48.54,-62.19,39.96
Ambient,"['Ethereum', 'Scroll', 'Canto', 'Blast', 'Plume (Deprecated)', 'Swellchain', 'Plume Mainnet']",Dexs,27567.0,298948.0,1750786.0,21.04,-67.81,-61.83
Caliber,['Aptos'],Dexs,26894.0,309126.0,1940537.0,19.09,-62.21,-56.48
Gate Swap,['GateLayer'],Dexs,26885.0,242695.0,1014509.0,46.29,10.47,-29.11
THENA V1,['BSC'],Dexs,26382.0,416181.0,453272.0,-40.8,,160.43
