eth_price,issuer,net_flow,net_flow_usd,net_tvl,net_tvl_usd,time,tvl,tvl_usd
0,Bitwise,,,-1361.8525318422041,-6254702.689719557,2025-09-18 00:00:00,-2149.4695879289407,-9872062.42874416
0,Bitwise,,,2435.5340984359427,11177956.810794711,2025-09-19 00:00:00,3797.386630278147,17428219.861260463
0,Bitwise,,,2435.534105439943,10892658.377828546,2025-09-20 00:00:00,7.003999999999999e-06,0.03132461956
0,Bitwise,,,2435.534105439943,10924612.585291918,2025-09-21 00:00:00,0.0,0.0
0,Bitwise,,,859.2837762149288,3825608.7072487227,2025-09-22 00:00:00,-1576.250329225014,-7017608.3282393925
0,Bitwise,,,-4514.251832509895,-18975161.010253772,2025-09-23 00:00:00,-5373.535608724825,-22587065.842357844
0,Bitwise,,,-10245.942923918348,-42701299.10800983,2025-09-24 00:00:00,-5731.691091408454,-23887567.743286613
0,Bitwise,,,-11320.629581657115,-47068234.43683905,2025-09-25 00:00:00,-1074.6866577387664,-4468267.704346778
0,Bitwise,,,-18341.87785243035,-71041761.29803322,2025-09-26 00:00:00,-7021.248270773235,-27194698.80235889
0,Bitwise,,,-18341.87785243035,-74040108.07057002,2025-09-27 00:00:00,0.0,0.0
0,Bitwise,,,-18341.87785243035,-73809917.50352201,2025-09-28 00:00:00,0.0,0.0
0,Bitwise,,,-18341.87785243035,-76043041.1320554,2025-09-29 00:00:00,0.0,0.0
0,Bitwise,,,-9622.67651056056,-40596340.1162831,2025-09-30 00:00:00,8719.20134186979,36784741.005107105
0,Bitwise,,,-9622.676510157558,-39897637.57318037,2025-10-01 00:00:00,4.0300000000000005e-07,0.0016709226300000001
0,Bitwise,,,-9622.676510157558,-41861625.84890353,2025-10-02 00:00:00,0.0,0.0
0,Bitwise,,,693.8563900111658,3113715.242994607,2025-10-03 00:00:00,10316.532900168724,46295957.21615216
0,Bitwise,,,693.8564001121658,3133302.854498516,2025-10-04 00:00:00,1.0101e-05,0.04561389378
0,Bitwise,,,693.8564001121658,3115588.7006036527,2025-10-05 00:00:00,0.0,0.0
0,Bitwise,,,693.8564265707091,3133871.936249265,2025-10-06 00:00:00,2.64585432887543e-05,0.11950265661798767
0,Bitwise,,,6425.140708178707,30124914.72436669,2025-10-07 00:00:00,5731.284281607998,26871699.482747264
0,Bitwise,,,6425.140726093621,28601128.433762185,2025-10-08 00:00:00,1.791491376934573e-05,0.07974716374941636
0,Bitwise,,,6425.140726093621,29096442.532336745,2025-10-09 00:00:00,0.0,0.0
0,Bitwise,,,4562.505584098564,19938605.65306914,2025-10-10 00:00:00,-1862.6351419950574,-8139901.834032601
0,Bitwise,,,4562.505584098564,17527732.077375613,2025-10-11 00:00:00,0.0,0.0
0,Bitwise,,,4562.505584102564,17122262.206131786,2025-10-12 00:00:00,4e-09,1.5011280000000002e-05
0,Bitwise,,,4562.505584102564,18978882.603470642,2025-10-13 00:00:00,0.0,0.0
0,Bitwise,,,-3819.1719242028885,-16216700.48251561,2025-10-14 00:00:00,-8381.677508305453,-35589692.31834103
0,Bitwise,,,-595.4726736988882,-2457569.3168959445,2025-10-15 00:00:00,3223.6992505040002,13304496.939762555
0,Bitwise,,,2484.9265348251115,9907749.984062595,2025-10-16 00:00:00,3080.3992085239997,12281982.90027438
0,Bitwise,,,-1598.3597449563822,-6225547.2722153105,2025-10-17 00:00:00,-4083.2862797814937,-15904236.728297727
0,Bitwise,,,-1598.3597449553822,-6129373.96635745,2025-10-18 00:00:00,1e-09,3.83479e-06
0,Bitwise,,,-1598.3597449553822,-6222350.552721505,2025-10-19 00:00:00,0.0,0.0
